"fecha","Tucumán","Capital","Cruz Alta","Tafí Viejo"
2020-03-06,1,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,1,0,0,0
2020-03-12,0,0,0,0
2020-03-13,1,0,0,0
2020-03-14,1,1,0,0
2020-03-15,2,2,0,0
2020-03-16,0,0,0,0
2020-03-17,2,1,1,0
2020-03-18,2,2,0,0
2020-03-19,5,2,0,0
2020-03-20,2,2,0,0
2020-03-21,1,1,0,0
2020-03-22,2,2,0,0
2020-03-23,1,0,1,0
2020-03-24,2,2,0,0
2020-03-25,1,1,0,0
2020-03-26,1,1,0,0
2020-03-27,0,0,0,0
2020-03-28,2,1,0,0
2020-03-29,1,0,0,1
2020-03-30,0,0,0,0
2020-03-31,1,0,0,1
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,0,0,0,0
2020-04-16,0,0,0,0
2020-04-17,0,0,0,0
2020-04-18,3,1,0,1
2020-04-19,1,0,0,0
2020-04-20,1,0,0,1
2020-04-21,0,0,0,0
2020-04-22,0,0,0,0
2020-04-23,0,0,0,0
2020-04-24,1,1,0,0
2020-04-25,0,0,0,0
2020-04-26,0,0,0,0
2020-04-27,2,2,0,0
2020-04-28,1,1,0,0
2020-04-29,0,0,0,0
2020-04-30,0,0,0,0
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,0,0,0
2020-05-04,0,0,0,0
2020-05-05,0,0,0,0
2020-05-06,0,0,0,0
2020-05-07,0,0,0,0
2020-05-08,0,0,0,0
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,0,0,0
2020-05-12,0,0,0,0
2020-05-13,0,0,0,0
2020-05-14,0,0,0,0
2020-05-15,0,0,0,0
2020-05-16,0,0,0,0
2020-05-17,0,0,0,0
2020-05-18,0,0,0,0
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,0,0
2020-05-22,0,0,0,0
2020-05-23,0,0,0,0
2020-05-24,0,0,0,0
2020-05-25,0,0,0,0
2020-05-26,0,0,0,0
2020-05-27,0,0,0,0
2020-05-28,0,0,0,0
2020-05-29,0,0,0,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,0,0,0,0
2020-06-02,0,0,0,0
2020-06-03,0,0,0,0
2020-06-04,1,1,0,0
2020-06-05,1,0,0,0
2020-06-06,0,0,0,0
2020-06-07,0,0,0,0
2020-06-08,1,0,0,0
2020-06-09,2,2,0,0
2020-06-10,0,0,0,0
2020-06-11,5,0,0,0
2020-06-12,12,3,2,1
2020-06-13,0,0,0,0
2020-06-14,0,0,0,0
2020-06-15,0,0,0,0
2020-06-16,0,0,0,0
2020-06-17,1,0,0,0
2020-06-18,4,3,0,0
2020-06-19,0,0,0,0
2020-06-20,0,0,0,0
2020-06-21,0,0,0,0
2020-06-22,1,0,0,0
2020-06-23,1,0,1,0
2020-06-24,1,0,0,0
2020-06-25,0,0,0,0
2020-06-26,1,1,0,0
2020-06-27,0,0,0,0
2020-06-28,0,0,0,0
2020-06-29,0,0,0,0
2020-06-30,2,1,0,0
2020-07-01,5,0,1,0
2020-07-02,2,0,0,1
2020-07-03,1,0,0,0
2020-07-04,0,0,0,0
2020-07-05,0,0,0,0
2020-07-06,0,0,0,0
2020-07-07,1,0,1,0
2020-07-08,1,1,0,0
2020-07-09,3,3,0,0
2020-07-10,3,1,2,0
2020-07-11,1,0,1,0
2020-07-12,2,1,1,0
2020-07-13,0,0,0,0
2020-07-14,1,1,0,0
2020-07-15,2,1,0,0
2020-07-16,1,1,0,0
2020-07-17,4,1,2,0
2020-07-18,0,0,0,0
2020-07-19,1,1,0,0
2020-07-20,1,0,1,0
2020-07-21,6,0,5,0
2020-07-22,4,0,2,1
2020-07-23,10,2,7,0
2020-07-24,10,0,9,1
2020-07-25,5,1,3,1
2020-07-26,22,4,16,1
2020-07-27,23,4,16,3
2020-07-28,9,5,3,0
2020-07-29,25,9,6,7
2020-07-30,28,11,7,6
2020-07-31,22,6,8,5
2020-08-01,9,3,1,3
2020-08-02,40,6,2,25
2020-08-03,34,7,9,7
2020-08-04,43,4,2,9
2020-08-05,29,10,8,6
2020-08-06,21,3,7,4
2020-08-07,15,6,4,0
2020-08-08,22,11,5,2
2020-08-09,30,13,3,3
2020-08-10,41,23,1,3
2020-08-11,35,15,5,3
2020-08-12,45,27,7,1
2020-08-13,28,20,1,2
2020-08-14,50,32,5,6
2020-08-15,58,31,14,2
2020-08-16,35,15,4,4
2020-08-17,58,34,9,2
2020-08-18,60,36,3,2
2020-08-19,91,40,13,11
2020-08-20,60,37,5,6
2020-08-21,67,34,10,10
2020-08-22,68,49,4,3
2020-08-23,28,12,0,2
2020-08-24,66,40,2,8
2020-08-25,27,14,2,1
2020-08-26,12,8,0,0
