"fecha","Córdoba","Capital","Colón","San Javier","Punilla","Santa María"
2020-04-03,1,1,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0
2020-05-10,1,1,0,0,0,0
2020-05-11,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0
2020-05-16,1,1,0,0,0,0
2020-05-17,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0
2020-05-28,2,1,0,0,0,0
2020-05-29,0,0,0,0,0,0
2020-05-30,3,1,0,0,0,0
2020-05-31,1,0,0,0,0,0
2020-06-01,0,0,0,0,0,0
2020-06-02,1,1,0,0,0,0
2020-06-03,3,1,0,1,0,0
2020-06-04,1,1,0,0,0,0
2020-06-05,6,5,0,0,0,0
2020-06-06,8,6,1,0,0,0
2020-06-07,1,1,0,0,0,0
2020-06-08,4,4,0,0,0,0
2020-06-09,6,5,1,0,0,0
2020-06-10,6,4,0,2,0,0
2020-06-11,8,4,0,3,1,0
2020-06-12,8,3,0,1,2,1
2020-06-13,8,3,0,4,0,1
2020-06-14,13,6,0,4,0,1
2020-06-15,9,2,1,4,0,0
2020-06-16,16,5,0,9,1,0
2020-06-17,20,7,0,7,0,0
2020-06-18,13,6,0,4,1,2
2020-06-19,16,10,0,5,0,0
2020-06-20,11,3,1,4,0,0
2020-06-21,5,2,0,2,0,0
2020-06-22,4,1,0,2,0,0
2020-06-23,9,0,0,4,0,0
2020-06-24,6,0,1,3,1,0
